Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Lecturer/View lecturer/Name""), ""Adnan Zulkarnain, S.Kom., M.M.S.I"")",Chrome 110.0.0.0,,,2023-02-10 12:17:19,2023-02-10 12:17:20,1.053s,PASSED
,,,,,,,
Test Cases/Lecturer/TC30_Edit lecturer,Chrome 110.0.0.0,,,2023-02-10 12:17:20,2023-02-10 12:17:31,10.512s,PASSED
"click(findTestObject(""Lecturer/Add Lecturer/Lecturer""))",Chrome 110.0.0.0,,,2023-02-10 12:17:22,2023-02-10 12:17:23,1.154s,PASSED
"setText(findTestObject(""Lecturer/Edit lecturer/Search""), ""edit"")",Chrome 110.0.0.0,,,2023-02-10 12:17:23,2023-02-10 12:17:24,1.076s,PASSED
"click(findTestObject(""Lecturer/Edit lecturer/Edit button""))",Chrome 110.0.0.0,,,2023-02-10 12:17:24,2023-02-10 12:17:25,1.667s,PASSED
"clearText(findTestObject(""Lecturer/Edit lecturer/Lecture name""))",Chrome 110.0.0.0,,,2023-02-10 12:17:25,2023-02-10 12:17:26,0.638s,PASSED
"setText(findTestObject(""Lecturer/Edit lecturer/Lecture name""), ""edit dosen baru"")",Chrome 110.0.0.0,,,2023-02-10 12:17:26,2023-02-10 12:17:27,1.031s,PASSED
"click(findTestObject(""Lecturer/Edit lecturer/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:17:27,2023-02-10 12:17:31,3.452s,PASSED
,,,,,,,
Test Cases/Lecturer/TC31_Edit lecturer dengan mengosongkan form,Chrome 110.0.0.0,,,2023-02-10 12:17:31,2023-02-10 12:17:39,8.899s,PASSED
"click(findTestObject(""Lecturer/Add Lecturer/Lecturer""))",Chrome 110.0.0.0,,,2023-02-10 12:17:32,2023-02-10 12:17:35,3.409s,PASSED
"setText(findTestObject(""Lecturer/Edit lecturer/Search""), ""edit"")",Chrome 110.0.0.0,,,2023-02-10 12:17:35,2023-02-10 12:17:37,1.140s,PASSED
"click(findTestObject(""Lecturer/Edit lecturer/Edit button""))",Chrome 110.0.0.0,,,2023-02-10 12:17:37,2023-02-10 12:17:38,1.623s,PASSED
"clearText(findTestObject(""Lecturer/Edit lecturer/Lecture name""))",Chrome 110.0.0.0,,,2023-02-10 12:17:38,2023-02-10 12:17:39,0.574s,PASSED
"click(findTestObject(""Lecturer/Edit lecturer/Submit button""))",Chrome 110.0.0.0,,,2023-02-10 12:17:39,2023-02-10 12:17:39,0.607s,PASSED
back(),Chrome 110.0.0.0,,,2023-02-10 12:17:39,2023-02-10 12:17:39,0.137s,PASSED
,,,,,,,
Test Cases/Lecturer/TC32_Delete lecturer,Chrome 110.0.0.0,,,2023-02-10 12:17:39,2023-02-10 12:17:45,5.053s,PASSED
"setText(findTestObject(""Lecturer/Delete lecturer/Search""), ""delete"")",Chrome 110.0.0.0,,,2023-02-10 12:17:41,2023-02-10 12:17:42,0.942s,PASSED
"click(findTestObject(""z test/Delete3/Delete button lecturer""), STOP_ON_FAILURE)",Chrome 110.0.0.0,,,2023-02-10 12:17:42,2023-02-10 12:17:43,1.126s,PASSED
